name,url
LG,http://search.mt.co.kr/searchNewsList.html?srchFd=TOTAL&range=TOTAL&reSrchFlag=&preKwd=&search_type=m&kwd=LG&bgndt=&enddt=&category=TOTAL&sortType=allwordsyn&subYear=&category=MTNW&subType=mt
삼성화재,http://search.mt.co.kr/searchNewsList.html?srchFd=TOTAL&range=TOTAL&reSrchFlag=&preKwd=&search_type=m&kwd=%BB%EF%BC%BA%C8%AD%C0%E7&bgndt=&enddt=&category=TOTAL&sortType=allwordsyn&subYear=&category=MTNW&subType=mt
하나금융지주,http://search.mt.co.kr/searchNewsList.html?srchFd=TOTAL&range=TOTAL&reSrchFlag=&preKwd=&search_type=m&kwd=%C7%CF%B3%AA%B1%DD%C0%B6%C1%F6%C1%D6&bgndt=&enddt=&category=TOTAL&sortType=allwordsyn&subYear=&category=MTNW&subType=mt
S-Oil,http://search.mt.co.kr/searchNewsList.html?srchFd=TOTAL&range=TOTAL&reSrchFlag=&preKwd=&search_type=m&kwd=S-Oil&bgndt=&enddt=&category=TOTAL&sortType=allwordsyn&subYear=&category=MTNW&subType=mt
LG전자,http://search.mt.co.kr/searchNewsList.html?srchFd=TOTAL&range=TOTAL&reSrchFlag=&preKwd=&search_type=m&kwd=LG%C0%FC%C0%DA&bgndt=&enddt=&category=TOTAL&sortType=allwordsyn&subYear=&category=MTNW&subType=mt
아모레퍼시픽,http://search.mt.co.kr/searchNewsList.html?srchFd=TOTAL&range=TOTAL&reSrchFlag=&preKwd=&search_type=m&kwd=%BE%C6%B8%F0%B7%B9%C6%DB%BD%C3%C7%C8&bgndt=&enddt=&category=TOTAL&sortType=allwordsyn&subYear=&category=MTNW&subType=mt
엔씨소프트,http://search.mt.co.kr/searchNewsList.html?srchFd=TOTAL&range=TOTAL&reSrchFlag=&preKwd=&search_type=m&kwd=%BF%A3%BE%BE%BC%D2%C7%C1%C6%AE&bgndt=&enddt=&category=TOTAL&sortType=allwordsyn&subYear=&category=MTNW&subType=mt
롯데케미칼,http://search.mt.co.kr/searchNewsList.html?srchFd=TOTAL&range=TOTAL&reSrchFlag=&preKwd=&search_type=m&kwd=%B7%D4%B5%A5%C4%C9%B9%CC%C4%AE&bgndt=&enddt=&category=TOTAL&sortType=allwordsyn&subYear=&category=MTNW&subType=mt
현대중공업,http://search.mt.co.kr/searchNewsList.html?srchFd=TOTAL&range=TOTAL&reSrchFlag=&preKwd=&search_type=m&kwd=%C7%F6%B4%EB%C1%DF%B0%F8%BE%F7&bgndt=&enddt=&category=TOTAL&sortType=allwordsyn&subYear=&category=MTNW&subType=mt
넷마블,http://search.mt.co.kr/searchNewsList.html?srchFd=TOTAL&range=TOTAL&reSrchFlag=&preKwd=&search_type=m&kwd=%B3%DD%B8%B6%BA%ED&bgndt=&enddt=&category=TOTAL&sortType=allwordsyn&subYear=&category=MTNW&subType=mt
